"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,       -7.19620131,      -7.194155631,       -7.80410994,      -6.599821297,             0.448,    0.001125865065,      0.0812404947,                 0,                 0,                 0,    -0.03313105593,  -0.0006466549121,     0.08124572228,                 0,       72.15828717
          0,           0,           1,       -7.47925347,       -7.37822974,      -7.345072268,      -6.881928825,             0.448,    0.001100324828,     0.08123295939,                 0,                 0,                 0,    -0.03313317299,  -0.0006720246895,      0.0812376316,                 0,        73.8263441
          0,           0,           2,      -7.394628813,      -7.361323605,      -7.410228023,      -6.804506291,             0.448,    0.001095818464,     0.08124284811,                 0,                 0,                 0,    -0.03313497945,  -0.0006767457027,     0.08124741967,                 0,       74.13896626
          0,           0,           3,      -7.360578679,      -7.384655977,      -7.370215718,      -6.771801275,             0.448,    0.001095976331,      0.0812325673,                 0,                 0,                 0,    -0.03313920238,  -0.0006763635979,     0.08123714475,                 0,       74.11890656
          0,           0,           4,      -7.313345672,      -7.327929337,      -7.335609431,      -6.727588129,             0.448,    0.001093125224,     0.08121763189,                 0,                 0,                 0,    -0.03314294828,  -0.0006788882124,     0.08122215069,                 0,       74.29856167
          0,           0,           5,      -7.294410097,       -7.29236441,      -7.347572276,      -6.711857119,             0.448,    0.001091008561,     0.08121055928,                 0,                 0,                 0,    -0.03314510871,  -0.0006808500841,     0.08121503359,                 0,       74.43622553
          0,           0,           6,      -7.290601635,      -7.350707888,      -7.373363749,       -6.71311594,             0.448,    0.001089875396,     0.08120343471,                 0,                 0,                 0,    -0.03314803847,  -0.0006818275577,       0.081207886,                 0,       74.50708129
          0,           0,           7,      -7.281883332,      -7.333070536,      -7.365567184,      -6.705712199,             0.448,    0.001089008403,      0.0811943436,                 0,                 0,                 0,    -0.03315070331,  -0.0006824960224,     0.08119877814,                 0,       74.55805057
          0,           0,           8,       -7.27246049,      -7.310603781,       -7.37770623,      -6.697864611,             0.448,    0.001088055967,     0.08118587643,                 0,                 0,                 0,    -0.03315248702,  -0.0006832635219,     0.08119029221,                 0,       74.61553349
          0,           0,           9,      -7.279846577,      -7.356116143,      -7.402198733,       -6.70922295,             0.448,    0.001087030757,     0.08117919912,                 0,                 0,                 0,    -0.03315352655,  -0.0006841428226,     0.08118359412,                 0,       74.67976281
          0,           0,          10,      -7.283726942,      -7.404579638,      -7.434684143,      -6.715924568,             0.448,    0.001086113023,     0.08117363419,                 0,                 0,                 0,    -0.03315415176,  -0.0006849389403,     0.08117801049,                 0,       74.73774136
          0,           0,          11,      -7.289615029,      -7.428975389,      -7.451823801,      -6.724100141,             0.448,    0.001085297126,     0.08116846024,                 0,                 0,                 0,     -0.0331546012,  -0.0006856417741,     0.08117281997,                 0,       74.78915986
          0,           0,          12,      -7.294484691,      -7.444006822,      -7.465647262,      -6.730752328,             0.448,    0.001084504274,     0.08116354343,                 0,                 0,                 0,    -0.03315493348,  -0.0006863271776,     0.08116788704,                 0,       74.83930251
          0,           0,          13,      -7.301073706,      -7.464249716,      -7.481799314,      -6.737648326,             0.448,    0.001083730831,     0.08115906061,                 0,                 0,                 0,    -0.03315510364,  -0.0006870026449,     0.08116338842,                 0,        74.8885778
          0,           0,          14,      -7.311341672,      -7.490410207,      -7.496217002,      -6.746816562,             0.448,    0.001083014448,     0.08115511491,                 0,                 0,                 0,    -0.03315510123,  -0.0006876327824,     0.08115942803,                 0,       74.93447119
          0,           0,          15,      -7.320663863,      -7.513906287,      -7.511696667,       -6.75481263,             0.448,    0.001082375637,      0.0811516145,                 0,                 0,                 0,    -0.03315500001,  -0.0006881950799,     0.08115591451,                 0,       74.97546298
          0,           0,          16,      -7.328251074,      -7.528254249,      -7.530473748,      -6.762237327,             0.448,    0.001081808506,     0.08114842948,                 0,                 0,                 0,    -0.03315487184,  -0.0006886925953,     0.08115271788,                 0,       75.01182423
